 year |                                                                    title                                                                    | publication_type | autor_type |                                               authors                                                
 1994 | Reliable Minimum Finding Comparator Networks.                                                                                               | inproceedings    | author     | Andrzej Pelc, Krzysztof Diks, Marek Piotr&oacute;w, Piotr Denejko
 1994 | Fault-Tolerant Linear Broadcasting.                                                                                                         | inproceedings    | author     | Andrzej Pelc, Krzysztof Diks
 1994 | Waking up an Anonymous Faulty Network from a Single Source.                                                                                 | inproceedings    | author     | Andrzej Pelc, Bogdan S. Chlebus, Krzysztof Diks
 1994 | Fast gossiping with short unreliable messages.                                                                                              | article          | author     | Andrzej Pelc, Bogdan S. Chlebus, Krzysztof Diks
 1994 | Optimal Coteries and Voting Schemes.                                                                                                        | article          | author     | Andrzej Pelc, Bernard Mans, Danny Krizanc, Evangelos Kranakis, Krzysztof Diks
 1994 | Sparse Networks Supporting Efficient Reliable Broadcasting.                                                                                 | article          | author     | Andrzej Pelc, Bogdan S. Chlebus, Krzysztof Diks
 1993 | Edge Separators of Planar and Outerplanar Graphs with Applications.                                                                         | article          | author     | Hristo Djidjev, Imrich Vrto, Krzysztof Diks, Ondrej S&yacute;kora
 1993 | Fast Diagnosis of Multiprocessor Systems with Random Faults.                                                                                | article          | author     | Andrzej Pelc, Krzysztof Diks
 1993 | Parallel Algorithms for Finding Maximal k-Dependent Sets and Maximal f-Matchings.                                                           | article          | author     | Andrzej Lingas, Krzysztof Diks, Oscar Garrido
 1993 | Sparse Networks Supporting Efficient Reliable Broadcasting.                                                                                 | inproceedings    | author     | Andrzej Pelc, Bogdan S. Chlebus, Krzysztof Diks
 1992 | Almost Safe Gossiping in Bounded Degree Networks.                                                                                           | article          | author     | Andrzej Pelc, Krzysztof Diks
 1991 | Improved Deterministic Parallel Integer Sorting                                                                                             | article          | author     | Krzysztof Diks, Pramod Chandra P. Bhatt, Sanjeev Saxena, Tomasz Radzik, Torben Hagerup, V. C. Prasad
 1991 | On Optimal Parallel Computations for Sequences of Brackets.                                                                                 | article          | author     | Krzysztof Diks, Wojciech Rytter
 1991 | Parallel Algorithms for Finding Maximal k-Dependent Sets and Maximal f-Matchings.                                                           | inproceedings    | author     | Andrzej Lingas, Krzysztof Diks, Oscar Garrido
 1991 | Optimal Broadcasting in Faulty Hypercubes.                                                                                                  | inproceedings    | author     | Andrzej Pelc, Bogdan S. Chlebus, Krzysztof Diks
 1989 | Optimal Parallel Computations for Halin Graphs.                                                                                             | inproceedings    | author     | Krzysztof Diks, Wojciech Rytter
 1989 | Parallel Complexity of Lexicographically First Order Problems for Tree-Structured Graphs (Extended Abstract).                               | inproceedings    | author     | Bogdan S. Chlebus, Krzysztof Diks, Tomasz Szymacha, Wojciech Rytter
 1989 | New Simulations between CRCW PRAMs.                                                                                                         | inproceedings    | author     | Bogdan S. Chlebus, Krzysztof Diks, Tomasz Radzik, Torben Hagerup
 1989 | Optimal Parallel Algorithms For The Recognition And Colouring Outerplanar Graphs (Extended Abstract).                                       | inproceedings    | author     | Krzysztof Diks, Torben Hagerup, Wojciech Rytter
 1989 | Optimal Parallel 5-Colouring of Planar Graphs.                                                                                              | article          | author     | Krzysztof Diks, Marek Chrobak, Torben Hagerup
 1988 | Edge Separators for Planar Graphs and Their Applications.                                                                                   | inproceedings    | author     | Hristo Djidjev, Imrich Vrto, Krzysztof Diks, Ondrej S&yacute;kora
 1988 | Testing Isomorphism of Outerplanar Graphs in Parallel.                                                                                      | inproceedings    | author     | Bogdan S. Chlebus, Krzysztof Diks, Tomasz Radzik
 1988 | Efficient Simulations Between Concurrent-Read Concurrent-Write PRAM Models.                                                                 | inproceedings    | author     | Bogdan S. Chlebus, Krzysztof Diks, Tomasz Radzik, Torben Hagerup
 1987 | Parallel Recognition of Outerplanar Graphs.                                                                                                 | inproceedings    | author     | Krzysztof Diks
 1987 | Saturating Flows in Networks.                                                                                                               | inproceedings    | author     | Bogdan S. Chlebus, Krzysztof Diks, Marek Chrobak
 1987 | Parallel 5-Colouring of Planar Graphs.                                                                                                      | inproceedings    | author     | Krzysztof Diks, Marek Chrobak, Torben Hagerup
 1986 | A Fast Parallel Algorithm for Six-Colouring of Planar Graphs (Extended Abstract).                                                           | inproceedings    | author     | Krzysztof Diks
 1985 | Embeddings of Binary Trees in Lines.                                                                                                        | article          | author     | Krzysztof Diks
 1984 | A note on selection networks.                                                                                                               | inproceedings    | author     | Krzysztof Diks
(71 rows)

